input,intent,response
actually useless,insult,I apologize if I disappointed you. I am still learning.
please you are dumb friend,insult,I apologize if I disappointed you. I am still learning.
well thx,gratitude,You are very welcome!
ok how do you feel mam,wellbeing,I'm functioning perfectly. How can I help you?
ok how are things mam,wellbeing,I'm functioning perfectly. How can I help you?
so what do you mean,confusion,I apologize. Let me try to be clearer.
well how are things,wellbeing,I'm functioning perfectly. How can I help you?
ok who are you bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hey what do you mean sir,confusion,I apologize. Let me try to be clearer.
well you are cute,love,That is very kind of you to say!
hey bye bot,farewell,Goodbye! Have a wonderful day.
introduce yourself please,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually are you a bot sir,identity,"I am SHAKTI 2.0, a human interaction dataset model."
how do you feel please,wellbeing,I'm functioning perfectly. How can I help you?
please hey there friend,greeting,Hello! How can I help you today?
umm you are cute,love,That is very kind of you to say!
please you suck,insult,I apologize if I disappointed you. I am still learning.
what are your features mam,capabilities,I can answer questions and chat with you.
can you explain buddy,confusion,I apologize. Let me try to be clearer.
will you marry me bot,love,That is very kind of you to say!
goodbye buddy,farewell,Goodbye! Have a wonderful day.
good job mam,compliment,Thank you! I appreciate the positive feedback.
i like you friend,love,That is very kind of you to say!
well appreciate it,gratitude,You are very welcome!
help me sir,capabilities,I can answer questions and chat with you.
you are dumb buddy,insult,I apologize if I disappointed you. I am still learning.
hey thx buddy,gratitude,You are very welcome!
please how is it going,wellbeing,I'm functioning perfectly. How can I help you?
who are you mam,identity,"I am SHAKTI 2.0, a human interaction dataset model."
you are dumb sir,insult,I apologize if I disappointed you. I am still learning.
actually good night now,farewell,Goodbye! Have a wonderful day.
you suck actually,insult,I apologize if I disappointed you. I am still learning.
what are your features today,capabilities,I can answer questions and chat with you.
umm you suck,insult,I apologize if I disappointed you. I am still learning.
actually useless please,insult,I apologize if I disappointed you. I am still learning.
cya actually,farewell,Goodbye! Have a wonderful day.
actually good job sir,compliment,Thank you! I appreciate the positive feedback.
umm thank you,gratitude,You are very welcome!
actually see you mam,farewell,Goodbye! Have a wonderful day.
i love you please,love,That is very kind of you to say!
yo thanks,gratitude,You are very welcome!
ok talk to you later mam,farewell,Goodbye! Have a wonderful day.
please cya buddy,farewell,Goodbye! Have a wonderful day.
please hi there please,greeting,Hello! How can I help you today?
hey well done bot,compliment,Thank you! I appreciate the positive feedback.
yo nice work actually,compliment,Thank you! I appreciate the positive feedback.
appreciate it mam,gratitude,You are very welcome!
actually thanks sir,gratitude,You are very welcome!
please how are things now,wellbeing,I'm functioning perfectly. How can I help you?
you are stupid today,insult,I apologize if I disappointed you. I am still learning.
yo i am confused please,confusion,I apologize. Let me try to be clearer.
are you a bot bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
are you a bot please,identity,"I am SHAKTI 2.0, a human interaction dataset model."
will you marry me now,love,That is very kind of you to say!
so i like you friend,love,That is very kind of you to say!
i like you buddy,love,That is very kind of you to say!
thanks a lot actually,gratitude,You are very welcome!
please you are smart mam,compliment,Thank you! I appreciate the positive feedback.
please are you a bot buddy,identity,"I am SHAKTI 2.0, a human interaction dataset model."
ok useless,insult,I apologize if I disappointed you. I am still learning.
hey thx,gratitude,You are very welcome!
hi bot,greeting,Hello! How can I help you today?
please what's up please,wellbeing,I'm functioning perfectly. How can I help you?
ok i dont understand please,confusion,I apologize. Let me try to be clearer.
actually appreciate it sir,gratitude,You are very welcome!
umm thx bot,gratitude,You are very welcome!
umm what is your name,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually you are stupid,insult,I apologize if I disappointed you. I am still learning.
ok will you marry me,love,That is very kind of you to say!
actually you are smart,compliment,Thank you! I appreciate the positive feedback.
listen thank you actually,gratitude,You are very welcome!
i dont understand now,confusion,I apologize. Let me try to be clearer.
yo can you explain,confusion,I apologize. Let me try to be clearer.
hey i like you,love,That is very kind of you to say!
please see you mam,farewell,Goodbye! Have a wonderful day.
please see you,farewell,Goodbye! Have a wonderful day.
ok thx friend,gratitude,You are very welcome!
hey i love you bot,love,That is very kind of you to say!
hey you are amazing please,compliment,Thank you! I appreciate the positive feedback.
listen what can you do,capabilities,I can answer questions and chat with you.
yo hi sir,greeting,Hello! How can I help you today?
well you are amazing buddy,compliment,Thank you! I appreciate the positive feedback.
listen i have to go actually,farewell,Goodbye! Have a wonderful day.
so good night,farewell,Goodbye! Have a wonderful day.
how do you feel now,wellbeing,I'm functioning perfectly. How can I help you?
so what do you mean please,confusion,I apologize. Let me try to be clearer.
hey how are things,wellbeing,I'm functioning perfectly. How can I help you?
yo cya sir,farewell,Goodbye! Have a wonderful day.
listen bye mam,farewell,Goodbye! Have a wonderful day.
hey you are smart,compliment,Thank you! I appreciate the positive feedback.
yo what can you do,capabilities,I can answer questions and chat with you.
can you explain mam,confusion,I apologize. Let me try to be clearer.
so well done,compliment,Thank you! I appreciate the positive feedback.
yo you are stupid friend,insult,I apologize if I disappointed you. I am still learning.
can you explain buddy,confusion,I apologize. Let me try to be clearer.
well done mam,compliment,Thank you! I appreciate the positive feedback.
well bad bot,insult,I apologize if I disappointed you. I am still learning.
ok you are stupid,insult,I apologize if I disappointed you. I am still learning.
so how do you work,capabilities,I can answer questions and chat with you.
hey hi bot,greeting,Hello! How can I help you today?
thanks a lot friend,gratitude,You are very welcome!
are you a bot today,identity,"I am SHAKTI 2.0, a human interaction dataset model."
you are amazing friend,compliment,Thank you! I appreciate the positive feedback.
introduce yourself mam,identity,"I am SHAKTI 2.0, a human interaction dataset model."
what are your features sir,capabilities,I can answer questions and chat with you.
you are stupid today,insult,I apologize if I disappointed you. I am still learning.
are you a bot friend,identity,"I am SHAKTI 2.0, a human interaction dataset model."
so you are stupid,insult,I apologize if I disappointed you. I am still learning.
what are you today,identity,"I am SHAKTI 2.0, a human interaction dataset model."
introduce yourself now,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hey talk to you later buddy,farewell,Goodbye! Have a wonderful day.
yo what is your name,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hey you are cute,love,That is very kind of you to say!
cya sir,farewell,Goodbye! Have a wonderful day.
so what do you mean,confusion,I apologize. Let me try to be clearer.
so help me,capabilities,I can answer questions and chat with you.
umm hey there actually,greeting,Hello! How can I help you today?
actually greetings bot,greeting,Hello! How can I help you today?
umm what are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
you suck buddy,insult,I apologize if I disappointed you. I am still learning.
actually how are you bot,wellbeing,I'm functioning perfectly. How can I help you?
actually i love you please,love,That is very kind of you to say!
listen you are amazing,compliment,Thank you! I appreciate the positive feedback.
hey bye,farewell,Goodbye! Have a wonderful day.
actually see you,farewell,Goodbye! Have a wonderful day.
hey hey there,greeting,Hello! How can I help you today?
umm how do you work bot,capabilities,I can answer questions and chat with you.
please i am confused,confusion,I apologize. Let me try to be clearer.
actually hi there please,greeting,Hello! How can I help you today?
so will you marry me,love,That is very kind of you to say!
thx please,gratitude,You are very welcome!
yo talk to you later bot,farewell,Goodbye! Have a wonderful day.
please are you a bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
you suck sir,insult,I apologize if I disappointed you. I am still learning.
so what can you do,capabilities,I can answer questions and chat with you.
yo good job,compliment,Thank you! I appreciate the positive feedback.
actually what are your features mam,capabilities,I can answer questions and chat with you.
thanks a lot today,gratitude,You are very welcome!
listen i love you mam,love,That is very kind of you to say!
thank you mam,gratitude,You are very welcome!
umm you are stupid actually,insult,I apologize if I disappointed you. I am still learning.
hey bye,farewell,Goodbye! Have a wonderful day.
you are dumb bot,insult,I apologize if I disappointed you. I am still learning.
ok appreciate it,gratitude,You are very welcome!
hey you are amazing,compliment,Thank you! I appreciate the positive feedback.
well thank you now,gratitude,You are very welcome!
well who are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually thank you,gratitude,You are very welcome!
listen you are smart,compliment,Thank you! I appreciate the positive feedback.
listen how do you work,capabilities,I can answer questions and chat with you.
please will you marry me please,love,That is very kind of you to say!
so you are cute,love,That is very kind of you to say!
listen thx today,gratitude,You are very welcome!
umm i love you mam,love,That is very kind of you to say!
well hey now,greeting,Hello! How can I help you today?
listen thx buddy,gratitude,You are very welcome!
so help me,capabilities,I can answer questions and chat with you.
umm what's up,wellbeing,I'm functioning perfectly. How can I help you?
what are your features today,capabilities,I can answer questions and chat with you.
yo well done bot,compliment,Thank you! I appreciate the positive feedback.
what are your features mam,capabilities,I can answer questions and chat with you.
you suck sir,insult,I apologize if I disappointed you. I am still learning.
well done sir,compliment,Thank you! I appreciate the positive feedback.
how do you work sir,capabilities,I can answer questions and chat with you.
see you buddy,farewell,Goodbye! Have a wonderful day.
yo hi there,greeting,Hello! How can I help you today?
umm introduce yourself,identity,"I am SHAKTI 2.0, a human interaction dataset model."
umm thank you,gratitude,You are very welcome!
ok nice work,compliment,Thank you! I appreciate the positive feedback.
actually how are things,wellbeing,I'm functioning perfectly. How can I help you?
useless actually,insult,I apologize if I disappointed you. I am still learning.
hi there sir,greeting,Hello! How can I help you today?
actually thanks,gratitude,You are very welcome!
actually i love you,love,That is very kind of you to say!
hey useless,insult,I apologize if I disappointed you. I am still learning.
umm are you a bot actually,identity,"I am SHAKTI 2.0, a human interaction dataset model."
how do you work buddy,capabilities,I can answer questions and chat with you.
so greetings,greeting,Hello! How can I help you today?
so how do you work please,capabilities,I can answer questions and chat with you.
how do you feel mam,wellbeing,I'm functioning perfectly. How can I help you?
listen what do you mean,confusion,I apologize. Let me try to be clearer.
umm i like you friend,love,That is very kind of you to say!
please hey there buddy,greeting,Hello! How can I help you today?
listen bye mam,farewell,Goodbye! Have a wonderful day.
yo how are things,wellbeing,I'm functioning perfectly. How can I help you?
well bad bot,insult,I apologize if I disappointed you. I am still learning.
so how do you work,capabilities,I can answer questions and chat with you.
so what are your features,capabilities,I can answer questions and chat with you.
what do you mean please,confusion,I apologize. Let me try to be clearer.
you are cute buddy,love,That is very kind of you to say!
what are your features mam,capabilities,I can answer questions and chat with you.
useless bot,insult,I apologize if I disappointed you. I am still learning.
umm what's up mam,wellbeing,I'm functioning perfectly. How can I help you?
listen what is your name mam,identity,"I am SHAKTI 2.0, a human interaction dataset model."
you are smart buddy,compliment,Thank you! I appreciate the positive feedback.
hey appreciate it,gratitude,You are very welcome!
appreciate it bot,gratitude,You are very welcome!
hey good job,compliment,Thank you! I appreciate the positive feedback.
please will you marry me please,love,That is very kind of you to say!
good night actually,farewell,Goodbye! Have a wonderful day.
so what do you mean bot,confusion,I apologize. Let me try to be clearer.
will you marry me mam,love,That is very kind of you to say!
umm thanks a lot today,gratitude,You are very welcome!
hey how is it going buddy,wellbeing,I'm functioning perfectly. How can I help you?
yo how are you,wellbeing,I'm functioning perfectly. How can I help you?
thx friend,gratitude,You are very welcome!
actually nice work today,compliment,Thank you! I appreciate the positive feedback.
what can you do please,capabilities,I can answer questions and chat with you.
can you explain today,confusion,I apologize. Let me try to be clearer.
hey appreciate it buddy,gratitude,You are very welcome!
listen thank you,gratitude,You are very welcome!
well greetings buddy,greeting,Hello! How can I help you today?
how do you work sir,capabilities,I can answer questions and chat with you.
listen help me buddy,capabilities,I can answer questions and chat with you.
please will you marry me buddy,love,That is very kind of you to say!
hey nice work please,compliment,Thank you! I appreciate the positive feedback.
how do you work buddy,capabilities,I can answer questions and chat with you.
please well done,compliment,Thank you! I appreciate the positive feedback.
actually help me today,capabilities,I can answer questions and chat with you.
please what do you mean now,confusion,I apologize. Let me try to be clearer.
well i dont understand actually,confusion,I apologize. Let me try to be clearer.
what are your features mam,capabilities,I can answer questions and chat with you.
bad bot actually,insult,I apologize if I disappointed you. I am still learning.
so good night buddy,farewell,Goodbye! Have a wonderful day.
ok you are smart,compliment,Thank you! I appreciate the positive feedback.
actually introduce yourself,identity,"I am SHAKTI 2.0, a human interaction dataset model."
umm you are amazing,compliment,Thank you! I appreciate the positive feedback.
greetings actually,greeting,Hello! How can I help you today?
hey what are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
thank you friend,gratitude,You are very welcome!
how do you work today,capabilities,I can answer questions and chat with you.
you are dumb please,insult,I apologize if I disappointed you. I am still learning.
help me sir,capabilities,I can answer questions and chat with you.
ok can you explain,confusion,I apologize. Let me try to be clearer.
hey how are you bot,wellbeing,I'm functioning perfectly. How can I help you?
actually well done mam,compliment,Thank you! I appreciate the positive feedback.
actually hey there,greeting,Hello! How can I help you today?
yo what can you do,capabilities,I can answer questions and chat with you.
please i dont understand please,confusion,I apologize. Let me try to be clearer.
you are amazing bot,compliment,Thank you! I appreciate the positive feedback.
good evening please,greeting,Hello! How can I help you today?
you are smart today,compliment,Thank you! I appreciate the positive feedback.
what do you mean now,confusion,I apologize. Let me try to be clearer.
talk to you later now,farewell,Goodbye! Have a wonderful day.
what's up please,wellbeing,I'm functioning perfectly. How can I help you?
so i dont understand,confusion,I apologize. Let me try to be clearer.
nice work now,compliment,Thank you! I appreciate the positive feedback.
listen i love you,love,That is very kind of you to say!
well will you marry me,love,That is very kind of you to say!
listen what are you buddy,identity,"I am SHAKTI 2.0, a human interaction dataset model."
good night friend,farewell,Goodbye! Have a wonderful day.
hey good night,farewell,Goodbye! Have a wonderful day.
appreciate it sir,gratitude,You are very welcome!
listen you are amazing,compliment,Thank you! I appreciate the positive feedback.
yo what can you do,capabilities,I can answer questions and chat with you.
well what do you mean buddy,confusion,I apologize. Let me try to be clearer.
thx please,gratitude,You are very welcome!
so what do you mean,confusion,I apologize. Let me try to be clearer.
hey how do you work bot,capabilities,I can answer questions and chat with you.
bad bot please,insult,I apologize if I disappointed you. I am still learning.
so what's up please,wellbeing,I'm functioning perfectly. How can I help you?
good night please,farewell,Goodbye! Have a wonderful day.
please good night please,farewell,Goodbye! Have a wonderful day.
ok cya actually,farewell,Goodbye! Have a wonderful day.
listen how are you actually,wellbeing,I'm functioning perfectly. How can I help you?
umm what can you do,capabilities,I can answer questions and chat with you.
cya today,farewell,Goodbye! Have a wonderful day.
yo will you marry me,love,That is very kind of you to say!
listen cya sir,farewell,Goodbye! Have a wonderful day.
well thanks,gratitude,You are very welcome!
ok what do you mean now,confusion,I apologize. Let me try to be clearer.
help me buddy,capabilities,I can answer questions and chat with you.
please will you marry me,love,That is very kind of you to say!
hey you are cute,love,That is very kind of you to say!
bye bot,farewell,Goodbye! Have a wonderful day.
hey thank you mam,gratitude,You are very welcome!
please cya,farewell,Goodbye! Have a wonderful day.
ok i have to go,farewell,Goodbye! Have a wonderful day.
so appreciate it friend,gratitude,You are very welcome!
i like you actually,love,That is very kind of you to say!
please thank you,gratitude,You are very welcome!
ok good night buddy,farewell,Goodbye! Have a wonderful day.
ok hey today,greeting,Hello! How can I help you today?
how are things bot,wellbeing,I'm functioning perfectly. How can I help you?
i have to go please,farewell,Goodbye! Have a wonderful day.
hey will you marry me,love,That is very kind of you to say!
hey well done,compliment,Thank you! I appreciate the positive feedback.
help me please,capabilities,I can answer questions and chat with you.
yo how is it going,wellbeing,I'm functioning perfectly. How can I help you?
i am confused now,confusion,I apologize. Let me try to be clearer.
yo thx now,gratitude,You are very welcome!
hello bot,greeting,Hello! How can I help you today?
yo thanks,gratitude,You are very welcome!
well how are you mam,wellbeing,I'm functioning perfectly. How can I help you?
well bad bot,insult,I apologize if I disappointed you. I am still learning.
well you are cute buddy,love,That is very kind of you to say!
ok what can you do,capabilities,I can answer questions and chat with you.
umm i am confused,confusion,I apologize. Let me try to be clearer.
umm useless today,insult,I apologize if I disappointed you. I am still learning.
hey thx buddy,gratitude,You are very welcome!
i like you friend,love,That is very kind of you to say!
you are smart today,compliment,Thank you! I appreciate the positive feedback.
how are you mam,wellbeing,I'm functioning perfectly. How can I help you?
actually appreciate it,gratitude,You are very welcome!
well i am confused bot,confusion,I apologize. Let me try to be clearer.
actually thank you,gratitude,You are very welcome!
yo what's up actually,wellbeing,I'm functioning perfectly. How can I help you?
so i like you today,love,That is very kind of you to say!
so who are you sir,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo talk to you later,farewell,Goodbye! Have a wonderful day.
see you buddy,farewell,Goodbye! Have a wonderful day.
i like you now,love,That is very kind of you to say!
good night mam,farewell,Goodbye! Have a wonderful day.
listen talk to you later,farewell,Goodbye! Have a wonderful day.
please how are you buddy,wellbeing,I'm functioning perfectly. How can I help you?
ok bye bot,farewell,Goodbye! Have a wonderful day.
what do you mean bot,confusion,I apologize. Let me try to be clearer.
ok what are your features,capabilities,I can answer questions and chat with you.
actually good morning today,greeting,Hello! How can I help you today?
can you explain sir,confusion,I apologize. Let me try to be clearer.
i love you today,love,That is very kind of you to say!
yo can you explain sir,confusion,I apologize. Let me try to be clearer.
yo greetings now,greeting,Hello! How can I help you today?
thank you actually,gratitude,You are very welcome!
you are cute buddy,love,That is very kind of you to say!
you suck today,insult,I apologize if I disappointed you. I am still learning.
please you are smart sir,compliment,Thank you! I appreciate the positive feedback.
who are you today,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hey i am confused,confusion,I apologize. Let me try to be clearer.
listen introduce yourself now,identity,"I am SHAKTI 2.0, a human interaction dataset model."
umm will you marry me please,love,That is very kind of you to say!
i am confused mam,confusion,I apologize. Let me try to be clearer.
umm you are cute today,love,That is very kind of you to say!
so cya buddy,farewell,Goodbye! Have a wonderful day.
hey what's up mam,wellbeing,I'm functioning perfectly. How can I help you?
what are your features bot,capabilities,I can answer questions and chat with you.
introduce yourself today,identity,"I am SHAKTI 2.0, a human interaction dataset model."
umm who are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo help me,capabilities,I can answer questions and chat with you.
listen introduce yourself buddy,identity,"I am SHAKTI 2.0, a human interaction dataset model."
how are things actually,wellbeing,I'm functioning perfectly. How can I help you?
please thank you mam,gratitude,You are very welcome!
i am confused sir,confusion,I apologize. Let me try to be clearer.
cya now,farewell,Goodbye! Have a wonderful day.
listen what's up,wellbeing,I'm functioning perfectly. How can I help you?
so will you marry me mam,love,That is very kind of you to say!
how is it going bot,wellbeing,I'm functioning perfectly. How can I help you?
ok will you marry me,love,That is very kind of you to say!
hey see you,farewell,Goodbye! Have a wonderful day.
umm what do you mean,confusion,I apologize. Let me try to be clearer.
so i am confused,confusion,I apologize. Let me try to be clearer.
greetings sir,greeting,Hello! How can I help you today?
listen you are cute now,love,That is very kind of you to say!
yo how do you work,capabilities,I can answer questions and chat with you.
cya today,farewell,Goodbye! Have a wonderful day.
well good job,compliment,Thank you! I appreciate the positive feedback.
how is it going bot,wellbeing,I'm functioning perfectly. How can I help you?
talk to you later sir,farewell,Goodbye! Have a wonderful day.
hey good job friend,compliment,Thank you! I appreciate the positive feedback.
how do you work buddy,capabilities,I can answer questions and chat with you.
listen greetings,greeting,Hello! How can I help you today?
greetings mam,greeting,Hello! How can I help you today?
listen how do you work bot,capabilities,I can answer questions and chat with you.
well bad bot,insult,I apologize if I disappointed you. I am still learning.
actually thanks a lot,gratitude,You are very welcome!
listen you are smart,compliment,Thank you! I appreciate the positive feedback.
how is it going please,wellbeing,I'm functioning perfectly. How can I help you?
ok introduce yourself,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hey you are stupid,insult,I apologize if I disappointed you. I am still learning.
hey thank you buddy,gratitude,You are very welcome!
so what are your features,capabilities,I can answer questions and chat with you.
what is your name now,identity,"I am SHAKTI 2.0, a human interaction dataset model."
ok are you a bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
thanks today,gratitude,You are very welcome!
good morning sir,greeting,Hello! How can I help you today?
umm what are your features today,capabilities,I can answer questions and chat with you.
listen appreciate it,gratitude,You are very welcome!
well what can you do friend,capabilities,I can answer questions and chat with you.
hey hi,greeting,Hello! How can I help you today?
you are cute actually,love,That is very kind of you to say!
please what are your features,capabilities,I can answer questions and chat with you.
please useless mam,insult,I apologize if I disappointed you. I am still learning.
actually what are your features,capabilities,I can answer questions and chat with you.
please what's up friend,wellbeing,I'm functioning perfectly. How can I help you?
nice work actually,compliment,Thank you! I appreciate the positive feedback.
actually i am confused sir,confusion,I apologize. Let me try to be clearer.
cya bot,farewell,Goodbye! Have a wonderful day.
listen what's up friend,wellbeing,I'm functioning perfectly. How can I help you?
you are dumb now,insult,I apologize if I disappointed you. I am still learning.
well what is your name,identity,"I am SHAKTI 2.0, a human interaction dataset model."
so see you bot,farewell,Goodbye! Have a wonderful day.
listen can you explain,confusion,I apologize. Let me try to be clearer.
what are your features friend,capabilities,I can answer questions and chat with you.
nice work friend,compliment,Thank you! I appreciate the positive feedback.
yo bad bot,insult,I apologize if I disappointed you. I am still learning.
thank you sir,gratitude,You are very welcome!
are you a bot friend,identity,"I am SHAKTI 2.0, a human interaction dataset model."
hey what do you mean,confusion,I apologize. Let me try to be clearer.
what do you mean now,confusion,I apologize. Let me try to be clearer.
listen i dont understand please,confusion,I apologize. Let me try to be clearer.
see you buddy,farewell,Goodbye! Have a wonderful day.
are you a bot sir,identity,"I am SHAKTI 2.0, a human interaction dataset model."
will you marry me buddy,love,That is very kind of you to say!
see you bot,farewell,Goodbye! Have a wonderful day.
actually how is it going mam,wellbeing,I'm functioning perfectly. How can I help you?
hey you are cute please,love,That is very kind of you to say!
you suck mam,insult,I apologize if I disappointed you. I am still learning.
i am confused please,confusion,I apologize. Let me try to be clearer.
how do you feel sir,wellbeing,I'm functioning perfectly. How can I help you?
well how are things friend,wellbeing,I'm functioning perfectly. How can I help you?
yo thx sir,gratitude,You are very welcome!
what's up buddy,wellbeing,I'm functioning perfectly. How can I help you?
listen what can you do sir,capabilities,I can answer questions and chat with you.
actually you are smart,compliment,Thank you! I appreciate the positive feedback.
hey bye actually,farewell,Goodbye! Have a wonderful day.
please you are dumb,insult,I apologize if I disappointed you. I am still learning.
please well done,compliment,Thank you! I appreciate the positive feedback.
well good morning please,greeting,Hello! How can I help you today?
listen you are stupid,insult,I apologize if I disappointed you. I am still learning.
well introduce yourself,identity,"I am SHAKTI 2.0, a human interaction dataset model."
what's up actually,wellbeing,I'm functioning perfectly. How can I help you?
ok what's up actually,wellbeing,I'm functioning perfectly. How can I help you?
ok you suck buddy,insult,I apologize if I disappointed you. I am still learning.
hey i like you,love,That is very kind of you to say!
how are things friend,wellbeing,I'm functioning perfectly. How can I help you?
umm what is your name,identity,"I am SHAKTI 2.0, a human interaction dataset model."
so i like you,love,That is very kind of you to say!
listen you are cute please,love,That is very kind of you to say!
bye please,farewell,Goodbye! Have a wonderful day.
what is your name please,identity,"I am SHAKTI 2.0, a human interaction dataset model."
umm bad bot buddy,insult,I apologize if I disappointed you. I am still learning.
hey there actually,greeting,Hello! How can I help you today?
who are you friend,identity,"I am SHAKTI 2.0, a human interaction dataset model."
how do you feel please,wellbeing,I'm functioning perfectly. How can I help you?
ok you are cute sir,love,That is very kind of you to say!
please what can you do buddy,capabilities,I can answer questions and chat with you.
hey i love you sir,love,That is very kind of you to say!
i love you sir,love,That is very kind of you to say!
you are stupid today,insult,I apologize if I disappointed you. I am still learning.
you are cute now,love,That is very kind of you to say!
so i love you now,love,That is very kind of you to say!
so how is it going,wellbeing,I'm functioning perfectly. How can I help you?
actually how is it going now,wellbeing,I'm functioning perfectly. How can I help you?
cya please,farewell,Goodbye! Have a wonderful day.
yo you are stupid bot,insult,I apologize if I disappointed you. I am still learning.
please will you marry me actually,love,That is very kind of you to say!
thank you friend,gratitude,You are very welcome!
actually what are your features,capabilities,I can answer questions and chat with you.
hey help me actually,capabilities,I can answer questions and chat with you.
well i like you bot,love,That is very kind of you to say!
yo nice work,compliment,Thank you! I appreciate the positive feedback.
bye please,farewell,Goodbye! Have a wonderful day.
you are cute buddy,love,That is very kind of you to say!
so i dont understand today,confusion,I apologize. Let me try to be clearer.
umm bye,farewell,Goodbye! Have a wonderful day.
will you marry me actually,love,That is very kind of you to say!
nice work actually,compliment,Thank you! I appreciate the positive feedback.
ok hi there mam,greeting,Hello! How can I help you today?
hello sir,greeting,Hello! How can I help you today?
you are cute today,love,That is very kind of you to say!
are you a bot now,identity,"I am SHAKTI 2.0, a human interaction dataset model."
ok talk to you later,farewell,Goodbye! Have a wonderful day.
please help me now,capabilities,I can answer questions and chat with you.
hey how do you work actually,capabilities,I can answer questions and chat with you.
listen what are your features sir,capabilities,I can answer questions and chat with you.
can you explain please,confusion,I apologize. Let me try to be clearer.
you suck actually,insult,I apologize if I disappointed you. I am still learning.
ok thank you,gratitude,You are very welcome!
see you bot,farewell,Goodbye! Have a wonderful day.
so thx now,gratitude,You are very welcome!
yo you are dumb bot,insult,I apologize if I disappointed you. I am still learning.
umm can you explain please,confusion,I apologize. Let me try to be clearer.
please bad bot,insult,I apologize if I disappointed you. I am still learning.
you are dumb mam,insult,I apologize if I disappointed you. I am still learning.
please goodbye please,farewell,Goodbye! Have a wonderful day.
you are dumb buddy,insult,I apologize if I disappointed you. I am still learning.
how do you feel buddy,wellbeing,I'm functioning perfectly. How can I help you?
umm what are your features bot,capabilities,I can answer questions and chat with you.
good job actually,compliment,Thank you! I appreciate the positive feedback.
thanks mam,gratitude,You are very welcome!
see you now,farewell,Goodbye! Have a wonderful day.
well who are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
you are dumb please,insult,I apologize if I disappointed you. I am still learning.
thanks now,gratitude,You are very welcome!
useless friend,insult,I apologize if I disappointed you. I am still learning.
so you suck friend,insult,I apologize if I disappointed you. I am still learning.
you suck now,insult,I apologize if I disappointed you. I am still learning.
actually thanks bot,gratitude,You are very welcome!
umm will you marry me,love,That is very kind of you to say!
so what are you actually,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo bye,farewell,Goodbye! Have a wonderful day.
well bad bot friend,insult,I apologize if I disappointed you. I am still learning.
how are you bot,wellbeing,I'm functioning perfectly. How can I help you?
well hi there,greeting,Hello! How can I help you today?
hey how are you,wellbeing,I'm functioning perfectly. How can I help you?
ok thank you,gratitude,You are very welcome!
thank you buddy,gratitude,You are very welcome!
what are your features please,capabilities,I can answer questions and chat with you.
well what's up,wellbeing,I'm functioning perfectly. How can I help you?
umm what are your features,capabilities,I can answer questions and chat with you.
umm see you,farewell,Goodbye! Have a wonderful day.
so thanks,gratitude,You are very welcome!
will you marry me please,love,That is very kind of you to say!
hey bye,farewell,Goodbye! Have a wonderful day.
ok bad bot,insult,I apologize if I disappointed you. I am still learning.
what are your features please,capabilities,I can answer questions and chat with you.
please i have to go mam,farewell,Goodbye! Have a wonderful day.
hey i dont understand,confusion,I apologize. Let me try to be clearer.
will you marry me now,love,That is very kind of you to say!
umm you suck sir,insult,I apologize if I disappointed you. I am still learning.
you suck now,insult,I apologize if I disappointed you. I am still learning.
how are you please,wellbeing,I'm functioning perfectly. How can I help you?
please nice work,compliment,Thank you! I appreciate the positive feedback.
i love you actually,love,That is very kind of you to say!
yo who are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
actually will you marry me,love,That is very kind of you to say!
so thank you,gratitude,You are very welcome!
well i have to go,farewell,Goodbye! Have a wonderful day.
how are things today,wellbeing,I'm functioning perfectly. How can I help you?
appreciate it mam,gratitude,You are very welcome!
please you are stupid bot,insult,I apologize if I disappointed you. I am still learning.
listen are you a bot bot,identity,"I am SHAKTI 2.0, a human interaction dataset model."
so i love you mam,love,That is very kind of you to say!
so nice work mam,compliment,Thank you! I appreciate the positive feedback.
well you are amazing buddy,compliment,Thank you! I appreciate the positive feedback.
who are you today,identity,"I am SHAKTI 2.0, a human interaction dataset model."
yo what are your features now,capabilities,I can answer questions and chat with you.
what do you mean now,confusion,I apologize. Let me try to be clearer.
actually what are you,identity,"I am SHAKTI 2.0, a human interaction dataset model."
please good night friend,farewell,Goodbye! Have a wonderful day.
listen you are amazing,compliment,Thank you! I appreciate the positive feedback.
well what do you mean bot,confusion,I apologize. Let me try to be clearer.
